RednodeID BluenodeID targetNodeID reachProb
26 12 0 0.00000000
26 12 1 0.00031440
26 12 2 0.00125761
26 12 3 0.02986831
26 12 4 0.00314403
26 12 5 0.00125761
26 12 6 0.00000000
26 12 7 0.00031440
26 12 8 0.00000000
26 12 9 0.00000000
26 12 10 0.00000000
26 12 11 0.00125761
26 12 12 0.21347980
26 12 13 0.00000000
26 12 14 0.00408724
26 12 15 0.00377284
26 12 16 0.00000000
26 12 17 0.02075061
26 12 18 0.00534486
26 12 19 0.00000000
26 12 20 0.03867160
26 12 21 0.00000000
26 12 22 0.00000000
26 12 23 0.03489876
26 12 24 0.00031440
26 12 25 0.00440165
26 12 26 0.23706005
26 12 27 0.00440165
26 12 28 0.00062881
26 12 29 0.00062881
26 12 30 0.00000000
26 12 31 0.00000000
26 12 32 0.00062881
26 12 33 0.00000000
26 12 34 0.01100411
26 12 35 0.00000000
26 12 36 0.00031440
26 12 37 0.00440165
26 12 38 0.00251523
26 12 39 0.00000000
26 12 40 0.00188642
26 12 41 0.00000000
26 12 42 0.00565926
26 12 43 0.00000000
26 12 44 0.00000000
26 12 45 0.00000000
26 12 46 0.00000000
26 12 47 0.00031440
26 12 48 0.00000000
26 12 49 0.00062881
26 12 50 0.00000000
26 12 51 0.00000000
26 12 52 0.00000000
26 12 53 0.00000000
26 12 54 0.00000000
26 12 55 0.00094321
26 12 56 0.00345844
26 12 57 0.01697778
26 12 58 0.04150123
26 12 59 0.00408724
26 12 60 0.00000000
26 12 61 0.00125761
26 12 62 0.00062881
26 12 63 0.00000000
26 12 64 0.00000000
26 12 65 0.00754568
26 12 66 0.00062881
26 12 67 0.00188642
26 12 68 0.03678518
26 12 69 0.00031440
26 12 70 0.00000000
26 12 71 0.00125761
26 12 72 0.00471605
26 12 73 0.00251523
26 12 74 0.00000000
26 12 75 0.00534486
26 12 76 0.00031440
26 12 77 0.00000000
26 12 78 0.00000000
26 12 79 0.00062881
26 12 80 0.00000000
26 12 81 0.00723127
26 12 82 0.00000000
26 12 83 0.00000000
26 12 84 0.00031440
26 12 85 0.00314403
26 12 86 0.00377284
26 12 87 0.00000000
26 12 88 0.00000000
26 12 89 0.00000000
26 12 90 0.00565926
26 12 91 0.00000000
26 12 92 0.00440165
26 12 93 0.00314403
26 12 94 0.00565926
26 12 95 0.00062881
26 12 96 0.00000000
26 12 97 0.00000000
26 12 98 0.00157202
26 12 99 0.00062881
26 12 100 0.00251523
26 12 101 0.00000000
26 12 102 0.00220082
26 12 103 0.00062881
26 12 104 0.00000000
26 12 105 0.00000000
26 12 106 0.00000000
26 12 107 0.00000000
26 12 108 0.00031440
26 12 109 0.00125761
26 12 110 0.00000000
26 12 111 0.00000000
26 12 112 0.00534486
26 12 113 0.00000000
26 12 114 0.00000000
26 12 115 0.00000000
26 12 116 0.00188642
26 12 117 0.00000000
26 12 118 0.00000000
26 12 119 0.00000000
26 12 120 0.00000000
26 12 121 0.00000000
26 12 122 0.00000000
26 12 123 0.00000000
26 12 124 0.00000000
26 12 125 0.00000000
26 12 126 0.00000000
26 12 127 0.00000000
26 12 128 0.00000000
26 12 129 0.00000000
26 12 130 0.00000000
26 12 131 0.00000000
26 12 132 0.00000000
26 12 133 0.00000000
26 12 134 0.00000000
26 12 135 0.00031440
26 12 136 0.00408724
26 12 137 0.00188642
26 12 138 0.00157202
26 12 139 0.00000000
26 12 140 0.00251523
26 12 141 0.03930041
26 12 142 0.00000000
26 12 143 0.00188642
26 12 144 0.00000000
26 12 145 0.00000000
26 12 146 0.00597366
26 12 147 0.02609547
26 12 148 0.00282963
26 12 149 0.00251523
26 12 150 0.00000000
26 12 151 0.00408724
26 12 152 0.00000000
26 12 153 0.00723127
26 12 154 0.00031440
26 12 155 0.00000000
26 12 156 0.00408724
26 12 157 0.00000000
26 12 158 0.00031440
26 12 159 0.00094321
26 12 160 0.00440165
26 12 161 0.00503045
26 12 162 0.01477695
26 12 163 0.00000000
26 12 164 0.00000000
26 12 165 0.00000000
26 12 166 0.00408724
69 88 0 0.08614649
69 88 1 0.00000000
69 88 2 0.00000000
69 88 3 0.00000000
69 88 4 0.00000000
69 88 5 0.00000000
69 88 6 0.00000000
69 88 7 0.00000000
69 88 8 0.00000000
69 88 9 0.00000000
69 88 10 0.00062881
69 88 11 0.00000000
69 88 12 0.00031440
69 88 13 0.00000000
69 88 14 0.00000000
69 88 15 0.00000000
69 88 16 0.00157202
69 88 17 0.00157202
69 88 18 0.00031440
69 88 19 0.00000000
69 88 20 0.00000000
69 88 21 0.00000000
69 88 22 0.00000000
69 88 23 0.00000000
69 88 24 0.00000000
69 88 25 0.00000000
69 88 26 0.00062881
